2021-11-22 01:23:07 - /root/Documents/Panda/target/bin/detectors.csv does not exist
2021-11-22 01:28:08 - 192.168.1.49 - 104.45.188.91: 0
2021-11-22 01:28:08 - 192.168.1.49 - 52.114.128.203: 0
2021-11-22 01:28:08 - 52.6.243.110 - 192.168.1.49: 0
2021-11-22 01:28:09 - 192.168.1.49 - 52.226.139.121: 0
2021-11-22 01:28:16 - 192.168.1.49 - 3.210.32.164: 0
2021-11-22 01:28:16 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:28:16 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:28:16 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:28:16 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:28:17 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:28:17 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:28:17 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:28:17 - 192.168.1.49 - 50.112.131.231: 0
2021-11-22 01:28:17 - 137.135.83.217 - 192.168.1.118: 0
2021-11-22 01:28:17 - 192.168.1.49 - 34.230.213.36: 0
2021-11-22 01:28:17 - 192.168.1.49 - 3.210.32.164: 0
2021-11-22 01:28:17 - 192.168.1.49 - 151.101.65.69: 0
2021-11-22 01:28:17 - 192.168.1.49 - 151.101.196.193: 0
2021-11-22 01:28:17 - 192.168.1.49 - 3.210.32.164: 0
2021-11-22 01:28:18 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:28:28 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:28:28 - 192.168.1.49 - 185.199.108.133: 0
2021-11-22 01:28:28 - 192.168.1.49 - 185.199.108.154: 0
2021-11-22 01:28:28 - 192.168.1.49 - 185.199.108.154: 0
2021-11-22 01:28:29 - 137.135.83.217 - 192.168.1.129: 0
2021-11-22 01:28:29 - 24.240.146.7 - 192.168.1.49: 0
2021-11-22 01:28:29 - 137.135.83.217 - 192.168.1.126: 0
2021-11-22 01:28:29 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:28:29 - 137.135.83.217 - 192.168.1.127: 0
2021-11-22 01:28:29 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:28:29 - 192.168.1.49 - 52.114.133.49: 0
2021-11-22 01:28:29 - 192.168.1.99 - 192.168.1.243: 1
2021-11-22 01:28:29 - 137.135.83.217 - 192.168.1.107: 0
2021-11-22 01:28:38 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:28:38 - 192.168.1.49 - 23.23.205.118: 0
2021-11-22 01:28:38 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.124: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.123: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.103: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.104: 0
2021-11-22 01:28:39 - 192.168.1.49 - 167.172.143.139: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.108: 0
2021-11-22 01:28:39 - 192.168.1.49 - 172.253.115.188: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.109: 0
2021-11-22 01:28:39 - 137.135.83.217 - 192.168.1.149: 0
2021-11-22 01:28:39 - 192.168.1.49 - 140.82.112.25: 0
2021-11-22 01:28:43 - 137.135.83.217 - 192.168.1.135: 0
2021-11-22 01:28:43 - 137.135.83.217 - 192.168.1.110: 0
2021-11-22 01:28:43 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:28:43 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:28:43 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:28:43 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:28:44 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:28:44 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:28:46 - 137.135.83.217 - 192.168.1.134: 0
2021-11-22 01:28:46 - 192.168.1.49 - 34.230.213.36: 0
2021-11-22 01:28:48 - 192.168.1.49 - 52.226.139.121: 0
2021-11-22 01:28:48 - 137.135.83.217 - 192.168.1.122: 0
2021-11-22 01:28:48 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:28:48 - 137.135.83.217 - 192.168.1.106: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.129: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.127: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.116: 0
2021-11-22 01:28:59 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:29:00 - 137.135.83.217 - 192.168.1.186: 0
2021-11-22 01:29:00 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:29:00 - 192.168.1.49 - 104.119.78.51: 0
2021-11-22 01:29:00 - 192.168.1.99 - 192.168.1.49: 1
2021-11-22 01:29:00 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:29:02 - 192.168.1.99 - 192.168.1.135: 0
2021-11-22 01:29:02 - 192.168.1.99 - 192.168.1.137: 0
2021-11-22 01:29:02 - 192.168.1.99 - 192.168.1.140: 0
2021-11-22 01:29:02 - 192.168.1.99 - 192.168.1.106: 0
2021-11-22 01:29:03 - 192.168.1.99 - 192.168.1.107: 0
2021-11-22 01:29:03 - 192.168.1.99 - 192.168.1.116: 0
2021-11-22 01:29:03 - 192.168.1.99 - 192.168.1.122: 0
2021-11-22 01:29:09 - 192.168.1.99 - 192.168.1.130: 0
2021-11-22 01:29:09 - 192.168.1.99 - 192.168.1.113: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.147: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.148: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.103: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.108: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.101: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.109: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.112: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.114: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.118: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.121: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.123: 0
2021-11-22 01:29:10 - 192.168.1.99 - 192.168.1.124: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.125: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.128: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.131: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.132: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.133: 0
2021-11-22 01:29:11 - 192.168.1.49 - 24.240.146.7: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.134: 0
2021-11-22 01:29:11 - 24.240.146.7 - 192.168.1.49: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.138: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.141: 0
2021-11-22 01:29:11 - 192.168.1.99 - 192.168.1.146: 0
2021-11-22 01:29:11 - 137.135.83.217 - 192.168.1.148: 0
2021-11-22 01:29:12 - 192.168.1.99 - 192.168.1.104: 0
2021-11-22 01:29:12 - 192.168.1.99 - 192.168.1.129: 0
2021-11-22 01:29:12 - 52.167.249.196 - 192.168.1.49: 0
2021-11-22 01:29:12 - 192.168.1.99 - 192.168.1.110: 0
2021-11-22 01:29:12 - 192.168.1.99 - 192.168.1.105: 0
2021-11-22 01:29:12 - 192.168.1.49 - 104.119.78.51: 0
2021-11-22 01:29:15 - 137.135.83.217 - 192.168.1.147: 0
2021-11-22 01:29:15 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:29:16 - 192.168.1.99 - 192.168.1.149: 1
2021-11-22 01:29:16 - 192.168.1.99 - 192.168.1.139: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:29:16 - 192.168.1.99 - 192.168.1.1: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:29:16 - 192.168.1.99 - 192.168.1.100: 0
2021-11-22 01:29:16 - 137.135.83.217 - 192.168.1.118: 0
2021-11-22 01:29:17 - 192.168.1.99 - 192.168.1.120: 0
2021-11-22 01:29:17 - 192.168.1.99 - 192.168.1.126: 0
2021-11-22 01:29:17 - 192.168.1.99 - 192.168.1.127: 0
2021-11-22 01:29:17 - 137.135.83.217 - 192.168.1.134: 0
2021-11-22 01:29:17 - 192.168.1.99 - 192.168.1.186: 0
2021-11-22 01:29:24 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:29:24 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:29:24 - 137.135.83.217 - 192.168.1.120: 0
